"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 27 21:47:45 GMT 2023","Mon Nov 27 21:47:47 GMT 2023","1738","","","","","","Elegir diferentes tematicas o niveles -- @1.1 Tematicas",""
"passed","Mon Nov 27 21:47:43 GMT 2023","Mon Nov 27 21:47:45 GMT 2023","1659","","","","","","Elegir opcion elegir por tematica o por nivel -- @1.2 Opciones",""
"passed","Mon Nov 27 21:47:48 GMT 2023","Mon Nov 27 21:47:50 GMT 2023","1613","","","","","","Elegir diferentes tematicas o niveles -- @1.3 Tematicas",""
"passed","Mon Nov 27 21:47:54 GMT 2023","Mon Nov 27 21:47:56 GMT 2023","1632","","","","","","Elegir diferentes tematicas o niveles -- @1.7 Tematicas",""
"passed","Mon Nov 27 21:47:41 GMT 2023","Mon Nov 27 21:47:43 GMT 2023","2038","","","","","","Elegir opcion elegir por tematica o por nivel -- @1.1 Opciones",""
"passed","Mon Nov 27 21:47:56 GMT 2023","Mon Nov 27 21:47:58 GMT 2023","1468","","","","","","Elegir diferentes tematicas o niveles -- @1.8 Tematicas",""
"passed","Mon Nov 27 21:47:58 GMT 2023","Mon Nov 27 21:48:00 GMT 2023","2360","","","","","","Ingresar letra incorrecta",""
"passed","Mon Nov 27 21:47:53 GMT 2023","Mon Nov 27 21:47:54 GMT 2023","1483","","","","","","Elegir diferentes tematicas o niveles -- @1.6 Tematicas",""
"passed","Mon Nov 27 21:48:00 GMT 2023","Mon Nov 27 21:48:03 GMT 2023","2906","","","","","","Ingresar letra repetida",""
"passed","Mon Nov 27 21:47:47 GMT 2023","Mon Nov 27 21:47:48 GMT 2023","1681","","","","","","Elegir diferentes tematicas o niveles -- @1.2 Tematicas",""
"passed","Mon Nov 27 21:47:51 GMT 2023","Mon Nov 27 21:47:53 GMT 2023","1522","","","","","","Elegir diferentes tematicas o niveles -- @1.5 Tematicas",""
"passed","Mon Nov 27 21:47:50 GMT 2023","Mon Nov 27 21:47:51 GMT 2023","1466","","","","","","Elegir diferentes tematicas o niveles -- @1.4 Tematicas",""
